Order ID,Date,Product,Price,Quantity,Purchase Type,Payment Method,Manager,City
10500,11/17/2022,Burgers,12.99,523.48,Drive-thru , Credit Card,Pablo Perez,Madrid
10501,11/17/2022,Chicken Sandwiches,9.95,201.01,Drive-thru , Credit Card,Pablo Perez,Madrid
10502,11/17/2022,Fries,3.49,630.37,Drive-thru , Credit Card,Pablo Perez,Madrid
10503,11/17/2022,Beverages,2.95,677.97,Drive-thru , Credit Card,Pablo Perez,Madrid
10504,11/17/2022,Sides & Other,4.99,200.4,Drive-thru , Credit Card,Pablo Perez,Madrid
10505,11/18/2022,Burgers,12.99,538.88,Drive-thru , Credit Card,Pablo Perez,Madrid
10506,11/18/2022,Chicken Sandwiches,9.95,201.01,Drive-thru , Credit Card,Pablo Perez,Madrid
10507,11/18/2022,Fries,3.49,687.68,Drive-thru , Credit Card,Pablo Perez,Madrid
10508,11/18/2022,Beverages,2.95,677.97,Drive-thru , Credit Card,Pablo Perez,Madrid
10509,11/18/2022,Sides & Other,4.99,200.4,Drive-thru , Credit Card,Pablo Perez,Madrid
10510,11/19/2022,Burgers,12.99,508.08,Drive-thru , Credit Card,Pablo Perez,Madrid
10511,11/19/2022,Chicken Sandwiches,9.95,201.01,Drive-thru , Credit Card,Joao Silva,Lisbon
10512,11/19/2022,Fries,3.49,687.68,Drive-thru , Credit Card,Joao Silva,Lisbon
10513,11/19/2022,Beverages,2.95,677.97,Drive-thru , Cash,Joao Silva,Lisbon
10514,11/19/2022,Sides & Other,4.99,200.4,Drive-thru , Cash,Joao Silva,Lisbon
10515,11/20/2022,Burgers,12.99,477.29,Drive-thru , Cash,Joao Silva,Lisbon
10516,11/20/2022,Chicken Sandwiches,9.95,201.01,Drive-thru , Cash,Joao Silva,Lisbon
10483,11/13/2022,Beverages,2.95,677.97,In-store , Credit Card,Joao    Silva,Lisbon
10484,11/13/2022,Sides & Other,4.99,200.4,In-store , Credit Card,Joao    Silva,Lisbon
10485,11/14/2022,Burgers,12.99,523.48,In-store , Credit Card,Joao    Silva,Lisbon
10520,11/21/2022,Burgers,12.99,492.69,Drive-thru , Cash,Remy Monet,Paris
10521,11/21/2022,Chicken Sandwiches,9.95,201.01,Drive-thru , Cash,Remy Monet,Paris
10522,11/21/2022,Fries,3.49,687.68,Drive-thru , Cash,Remy Monet,Paris
10523,11/21/2022,Beverages,2.95,745.76,Drive-thru , Cash,Remy Monet,Paris
10524,11/21/2022,Sides & Other,4.99,200.4,Drive-thru , Cash,Remy Monet,Paris
10525,11/22/2022,Burgers,12.99,461.89,Drive-thru , Cash,Remy Monet,Paris
10526,11/22/2022,Chicken Sandwiches,9.95,201.01,Drive-thru , Cash,Remy Monet,Paris
10527,11/22/2022,Fries,3.49,687.68,Drive-thru , Cash,Remy Monet,Paris
10528,11/22/2022,Beverages,2.95,745.76,Drive-thru , Cash,Remy Monet,Paris
10529,11/22/2022,Sides & Other,4.99,200.4,Drive-thru , Cash,Remy Monet,Paris
10530,11/23/2022,Burgers,12.99,477.29,Drive-thru , Cash,Remy Monet,Paris
10531,11/23/2022,Chicken Sandwiches,9.95,201.01,Drive-thru , Cash,Remy Monet,Paris
10532,11/23/2022,Fries,3.49,687.68,Drive-thru , Cash,Joao Silva,Lisbon
10533,11/23/2022,Beverages,2.95,745.76,Drive-thru , Cash,Joao Silva,Lisbon
10534,11/23/2022,Sides & Other,4.99,200.4,Drive-thru , Cash,Pablo Perez,Madrid
10535,11/24/2022,Burgers,12.99,477.29,Drive-thru , Credit Card,Pablo Perez,Madrid
10536,11/24/2022,Chicken Sandwiches,9.95,201.01,Drive-thru , Credit Card,Pablo Perez,Madrid
10540,11/25/2022,Burgers,12.99,461.89,Drive-thru , Credit Card,Pablo Perez,Madrid
10541,11/25/2022,Chicken Sandwiches,9.95,201.01,Drive-thru , Credit Card,Tom Jackson,London
10542,11/25/2022,Fries,3.49,630.37,Drive-thru , Credit Card,Tom Jackson,London
10543,11/25/2022,Beverages,2.95,745.76,Drive-thru , Credit Card,Tom Jackson,London
10544,11/25/2022,Sides & Other,4.99,200.4,Drive-thru , Credit Card,Tom Jackson,London
10545,11/26/2022,Burgers,12.99,446.5,Drive-thru , Credit Card,Tom Jackson,London
10546,11/26/2022,Chicken Sandwiches,9.95,201.01,Drive-thru , Credit Card,Tom Jackson,London
10547,11/26/2022,Fries,3.49,630.37,Drive-thru , Credit Card,Tom Jackson,London
10548,11/26/2022,Beverages,2.95,745.76,Drive-thru , Credit Card,Tom Jackson,London
10549,11/26/2022,Sides & Other,4.99,200.4,Drive-thru , Credit Card,Tom Jackson,London
10550,11/27/2022,Burgers,12.99,461.89,Drive-thru , Credit Card,Tom Jackson,London
10551,11/27/2022,Chicken Sandwiches,9.95,201.01,Drive-thru , Credit Card,Tom Jackson,London
10552,11/27/2022,Fries,3.49,630.37,Online , Credit Card,Tom Jackson,London
10553,11/27/2022,Beverages,2.95,745.76,Online , Credit Card,Tom Jackson,London
10554,11/27/2022,Sides & Other,4.99,200.4,Online , Credit Card,Tom Jackson,London
10555,11/28/2022,Burgers,12.99,477.29,Online , Credit Card,Tom Jackson,London
10556,11/28/2022,Chicken Sandwiches,9.95,201.01,Online , Credit Card,Tom Jackson,London
10557,11/28/2022,Fries,3.49,630.37,Online , Credit Card,Tom Jackson,London
10558,11/28/2022,Beverages,2.95,677.97,Online , Credit Card,Tom Jackson,London
10559,11/28/2022,Sides & Other,4.99,200.4,Online , Credit Card,Tom Jackson,London
10560,11/29/2022,Burgers,12.99,477.29,Online , Credit Card,Tom Jackson,London
10561,11/29/2022,Chicken Sandwiches,9.95,201.01,Online , Credit Card,Tom Jackson,London
10562,11/29/2022,Fries,3.49,630.37,Online , Credit Card,Tom Jackson,London
10563,11/29/2022,Beverages,2.95,677.97,Online , Credit Card,Tom Jackson,London
10564,11/29/2022,Sides & Other,4.99,200.4,Online , Credit Card,Tom Jackson,London
10565,11/30/2022,Burgers,12.99,492.69,Online , Credit Card,Tom Jackson,London
10566,11/30/2022,Chicken Sandwiches,9.95,201.01,Online , Credit Card,Tom Jackson,London
10567,11/30/2022,Fries,3.49,630.37,Online , Credit Card,Tom Jackson,London
10568,11/30/2022,Beverages,2.95,677.97,Online , Credit Card,Tom Jackson,London
10569,11/30/2022,Sides & Other,4.99,200.4,Online , Credit Card,Tom Jackson,London
10570,12/1/2022,Burgers,12.99,492.69,Online , Credit Card,Tom Jackson,London
10571,12/1/2022,Chicken Sandwiches,9.95,201.01,Online , Credit Card,Tom Jackson,London
10572,12/1/2022,Fries,3.49,573.07,Online , Credit Card,Remy Monet,Paris
10573,12/1/2022,Beverages,2.95,677.97,Online , Credit Card,Remy Monet,Paris
10574,12/1/2022,Sides & Other,4.99,200.4,Online , Credit Card,Remy Monet,Paris
10575,12/2/2022,Burgers,12.99,523.48,Online , Credit Card,Remy Monet,Paris
10576,12/2/2022,Chicken Sandwiches,9.95,201.01,Online , Credit Card,Remy Monet,Paris
10577,12/2/2022,Fries,3.49,630.37,Online , Credit Card,Remy Monet,Paris
10578,12/2/2022,Beverages,2.95,677.97,Online , Credit Card,Remy Monet,Paris
10579,12/2/2022,Sides & Other,4.99,200.4,Online , Credit Card,Remy Monet,Paris
10580,12/3/2022,Burgers,12.99,523.48,Online , Credit Card,Remy Monet,Paris
10581,12/3/2022,Chicken Sandwiches,9.95,201.01,Online , Credit Card,Remy Monet,Paris
10582,12/3/2022,Fries,3.49,630.37,Online , Credit Card,Tom Jackson,London
10583,12/3/2022,Beverages,2.95,677.97,Online , Credit Card,Tom Jackson,London
10584,12/3/2022,Sides & Other,4.99,200.4,Online , Credit Card,Tom Jackson,London
10585,12/4/2022,Burgers,12.99,538.88,Online , Credit Card,Tom Jackson,London
10586,12/4/2022,Chicken Sandwiches,9.95,201.01,Online , Credit Card,Tom Jackson,London
10537,11/24/2022,Fries,3.49,630.37,Drive-thru , Credit Card,Pablo Perez,Madrid
10538,11/24/2022,Beverages,2.95,745.76,Drive-thru , Credit Card,Pablo Perez,Madrid
10539,11/24/2022,Sides & Other,4.99,200.4,Drive-thru , Credit Card,Pablo Perez,Madrid
10590,12/5/2022,Burgers,12.99,554.27,Online , Credit Card,Tom Jackson,London
10591,12/5/2022,Chicken Sandwiches,9.95,201.01,Online , Credit Card,Tom Jackson,London
10592,12/5/2022,Fries,3.49,573.07,Online , Credit Card,Tom Jackson,London
10593,12/5/2022,Beverages,2.95,677.97,Online , Credit Card,Tom Jackson,London
10594,12/5/2022,Sides & Other,4.99,200.4,Online , Credit Card,Tom Jackson,London
10595,12/6/2022,Burgers,12.99,538.88,Online , Credit Card,Tom Jackson,London
10596,12/6/2022,Chicken Sandwiches,9.95,201.01,Online , Credit Card,Tom Jackson,London
10597,12/6/2022,Fries,3.49,573.07,Online , Credit Card,Tom Jackson,London
10598,12/6/2022,Beverages,2.95,677.97,Online , Credit Card,Tom Jackson,London
10599,12/6/2022,Sides & Other,4.99,200.4,Online , Credit Card,Tom Jackson,London
10600,12/7/2022,Burgers,12.99,523.48,Online , Credit Card,Tom Jackson,London
10601,12/7/2022,Chicken Sandwiches,9.95,201.01,Online , Credit Card,Tom Jackson,London
10602,12/7/2022,Fries,3.49,630.37,Online , Cash,Tom Jackson,London
10603,12/7/2022,Beverages,2.95,677.97,Online , Cash,Tom Jackson,London
10604,12/7/2022,Sides & Other,4.99,200.4,Online , Cash,Tom Jackson,London
10605,12/8/2022,Burgers,12.99,538.88,Online , Cash,Tom Jackson,London
10606,12/8/2022,Chicken Sandwiches,9.95,201.01,Online , Cash,Tom Jackson,London
10607,12/8/2022,Fries,3.49,630.37,Online , Cash,Tom Jackson,London
10608,12/8/2022,Beverages,2.95,677.97,Online , Gift Card,Tom Jackson,London
10609,12/8/2022,Sides & Other,4.99,200.4,Online , Gift Card,Tom Jackson,London
10610,12/9/2022,Burgers,12.99,569.67,Online , Gift Card,Tom Jackson,London
10611,12/9/2022,Chicken Sandwiches,9.95,201.01,Online , Gift Card,Tom Jackson,London
10612,12/9/2022,Fries,3.49,630.37,Online , Gift Card,Tom Jackson,London
10613,12/9/2022,Beverages,2.95,677.97,Online , Gift Card,Tom Jackson,London
10614,12/9/2022,Sides & Other,4.99,200.4,Online , Gift Card,Tom Jackson,London
10615,12/10/2022,Burgers,12.99,569.67,Online , Gift Card,Tom Jackson,London
10616,12/10/2022,Chicken Sandwiches,9.95,201.01,Online , Gift Card,Tom Jackson,London
10617,12/10/2022,Fries,3.49,630.37,Online , Gift Card,Tom Jackson,London
10618,12/10/2022,Beverages,2.95,677.97,Online , Gift Card,Tom Jackson,London
10619,12/10/2022,Sides & Other,4.99,200.4,Online , Gift Card,Tom Jackson,London
10620,12/11/2022,Burgers,12.99,585.07,Online , Gift Card,Tom Jackson,London
10621,12/11/2022,Chicken Sandwiches,9.95,201.01,Online , Gift Card,Tom Jackson,London
10622,12/11/2022,Fries,3.49,630.37,Online , Gift Card,Tom Jackson,London
10623,12/11/2022,Beverages,2.95,745.76,Online , Gift Card,Tom Jackson,London
10624,12/11/2022,Sides & Other,4.99,200.4,Online , Gift Card,Tom Jackson,London
10625,12/12/2022,Burgers,12.99,569.67,Online , Gift Card,Tom Jackson,London
10626,12/12/2022,Chicken Sandwiches,9.95,201.01,Online , Gift Card,Tom Jackson,London
10627,12/12/2022,Fries,3.49,630.37,Online , Gift Card,Tom Jackson,London
10628,12/12/2022,Beverages,2.95,677.97,Online , Gift Card,Joao Silva,Lisbon
10629,12/12/2022,Sides & Other,4.99,200.4,Online , Gift Card,Joao Silva,Lisbon
10630,12/13/2022,Burgers,12.99,569.67,Online , Cash,Joao Silva,Lisbon
10631,12/13/2022,Chicken Sandwiches,9.95,201.01,Online , Gift Card,Joao Silva,Lisbon
10632,12/13/2022,Fries,3.49,630.37,Online , Gift Card,Joao Silva,Lisbon
10633,12/13/2022,Beverages,2.95,677.97,Online , Gift Card,Joao Silva,Lisbon
10634,12/13/2022,Sides & Other,4.99,200.4,Online , Gift Card,Joao Silva,Lisbon
10635,12/14/2022,Burgers,12.99,554.27,Online , Gift Card,Joao Silva,Lisbon
10636,12/14/2022,Chicken Sandwiches,9.95,221.11,Online , Gift Card,Joao Silva,Lisbon
10637,12/14/2022,Fries,3.49,630.37,Online , Gift Card,Joao Silva,Lisbon
10638,12/14/2022,Beverages,2.95,677.97,Online , Gift Card,Joao Silva,Lisbon
10639,12/14/2022,Sides & Other,4.99,200.4,Online , Gift Card,Joao Silva,Lisbon
10640,12/15/2022,Burgers,12.99,538.88,Online , Gift Card,Joao Silva,Lisbon
10641,12/15/2022,Chicken Sandwiches,9.95,221.11,Online , Gift Card,Joao Silva,Lisbon
10642,12/15/2022,Fries,3.49,630.37,Online , Cash,Joao Silva,Lisbon
10643,12/15/2022,Beverages,2.95,677.97,Online , Cash,Joao Silva,Lisbon
10644,12/15/2022,Sides & Other,4.99,200.4,Online , Cash,Joao Silva,Lisbon
10645,12/16/2022,Burgers,12.99,569.67,Online , Cash,Joao Silva,Lisbon
10646,12/16/2022,Chicken Sandwiches,9.95,221.11,Online , Cash,Joao Silva,Lisbon
10647,12/16/2022,Fries,3.49,630.37,Online , Gift Card,Joao Silva,Lisbon
10648,12/16/2022,Beverages,2.95,745.76,Online , Gift Card,Joao Silva,Lisbon
10649,12/16/2022,Sides & Other,4.99,200.4,Online , Gift Card,Joao Silva,Lisbon
10650,12/17/2022,Burgers,12.99,585.07,Online , Gift Card,Joao Silva,Lisbon
10651,12/17/2022,Chicken Sandwiches,9.95,221.11,Online , Gift Card,Joao Silva,Lisbon
10652,12/17/2022,Fries,3.49,687.68,Online , Gift Card,Joao Silva,Lisbon
10653,12/17/2022,Beverages,2.95,745.76,Online , Gift Card,Joao Silva,Lisbon
10654,12/17/2022,Sides & Other,4.99,200.4,Online , Gift Card,Joao Silva,Lisbon
10655,12/18/2022,Burgers,12.99,600.46,Online , Gift Card,Joao Silva,Lisbon
10656,12/18/2022,Chicken Sandwiches,9.95,221.11,Online , Gift Card,Joao Silva,Lisbon
10657,12/18/2022,Fries,3.49,687.68,Online , Gift Card,Joao Silva,Lisbon
10658,12/18/2022,Beverages,2.95,745.76,Online , Cash,Joao Silva,Lisbon
10659,12/18/2022,Sides & Other,4.99,200.4,Online , Cash,Joao Silva,Lisbon
10660,12/19/2022,Burgers,12.99,631.25,In-store , Cash,Joao Silva,Lisbon
10661,12/19/2022,Chicken Sandwiches,9.95,221.11,In-store , Cash,Joao Silva,Lisbon
10662,12/19/2022,Fries,3.49,630.37,In-store , Cash,Joao Silva,Lisbon
10663,12/19/2022,Beverages,2.95,745.76,In-store , Cash,Joao Silva,Lisbon
10664,12/19/2022,Sides & Other,4.99,200.4,In-store , Cash,Joao Silva,Lisbon
10665,12/20/2022,Burgers,12.99,646.65,In-store , Cash,Joao Silva,Lisbon
10666,12/20/2022,Chicken Sandwiches,9.95,221.11,In-store , Cash,Joao Silva,Lisbon
10667,12/20/2022,Fries,3.49,630.37,In-store , Cash,Joao Silva,Lisbon
10668,12/20/2022,Beverages,2.95,745.76,In-store , Cash,Joao Silva,Lisbon
10669,12/20/2022,Sides & Other,4.99,200.4,In-store , Cash,Joao Silva,Lisbon
10670,12/21/2022,Burgers,12.99,677.44,In-store , Cash,Joao Silva,Lisbon
10671,12/21/2022,Chicken Sandwiches,9.95,221.11,In-store , Cash,Joao Silva,Lisbon
10672,12/21/2022,Fries,3.49,630.37,In-store , Cash,Joao Silva,Lisbon
10673,12/21/2022,Beverages,2.95,745.76,In-store , Cash,Joao Silva,Lisbon
10674,12/21/2022,Sides & Other,4.99,200.4,In-store , Cash,Joao Silva,Lisbon
10675,12/22/2022,Burgers,12.99,677.44,In-store , Cash,Joao Silva,Lisbon
10676,12/22/2022,Chicken Sandwiches,9.95,241.21,In-store , Cash,Joao Silva,Lisbon
10677,12/22/2022,Fries,3.49,630.37,In-store , Cash,Joao Silva,Lisbon
10678,12/22/2022,Beverages,2.95,745.76,In-store , Cash,Joao Silva,Lisbon
10679,12/22/2022,Sides & Other,4.99,200.4,In-store , Cash,Joao Silva,Lisbon
10680,12/23/2022,Burgers,12.99,646.65,In-store , Cash,Joao Silva,Lisbon
10681,12/23/2022,Chicken Sandwiches,9.95,241.21,In-store , Cash,Joao Silva,Lisbon
10682,12/23/2022,Fries,3.49,630.37,In-store , Cash,Joao Silva,Lisbon
10683,12/23/2022,Beverages,2.95,677.97,In-store , Cash,Joao Silva,Lisbon
10684,12/23/2022,Sides & Other,4.99,200.4,In-store , Cash,Joao Silva,Lisbon
10685,12/24/2022,Burgers,12.99,677.44,In-store , Cash,Joao Silva,Lisbon
10686,12/24/2022,Chicken Sandwiches,9.95,241.21,In-store , Cash,Joao Silva,Lisbon
10687,12/24/2022,Fries,3.49,630.37,In-store , Cash,Walter Muller,Berlin
10688,12/24/2022,Beverages,2.95,677.97,In-store , Cash,Walter Muller,Berlin
10689,12/24/2022,Sides & Other,4.99,200.4,In-store , Cash,Walter Muller,Berlin
10690,12/25/2022,Burgers,12.99,677.44,In-store , Cash,Walter Muller,Berlin
10691,12/25/2022,Chicken Sandwiches,9.95,261.31,In-store , Cash,Walter Muller,Berlin
10692,12/25/2022,Fries,3.49,630.37,In-store , Cash,Walter Muller,Berlin
10693,12/25/2022,Beverages,2.95,677.97,In-store , Cash,Walter Muller,Berlin
10694,12/25/2022,Sides & Other,4.99,200.4,In-store , Cash,Walter Muller,Berlin
10695,12/26/2022,Burgers,12.99,692.84,In-store , Cash,Walter Muller,Berlin
10696,12/26/2022,Chicken Sandwiches,9.95,281.41,In-store , Cash,Walter Muller,Berlin
10697,12/26/2022,Fries,3.49,630.37,In-store , Cash,Walter Muller,Berlin
10698,12/26/2022,Beverages,2.95,677.97,In-store , Cash,Walter Muller,Berlin
10699,12/26/2022,Sides & Other,4.99,200.4,In-store , Cash,Walter Muller,Berlin
10700,12/27/2022,Burgers,12.99,692.84,In-store , Cash,Walter Muller,Berlin
10701,12/27/2022,Chicken Sandwiches,9.95,281.41,In-store , Cash,Walter Muller,Berlin
10702,12/27/2022,Fries,3.49,630.37,In-store , Cash,Walter Muller,Berlin
10703,12/27/2022,Beverages,2.95,677.97,In-store , Gift Card,Walter Muller,Berlin
10704,12/27/2022,Sides & Other,4.99,200.4,Drive-thru , Gift Card,Walter Muller,Berlin
10705,12/28/2022,Burgers,12.99,723.63,Drive-thru , Gift Card,Walter Muller,Berlin
10706,12/28/2022,Chicken Sandwiches,9.95,301.51,Drive-thru , Gift Card,Walter Muller,Berlin
10707,12/28/2022,Fries,3.49,630.37,Drive-thru , Gift Card,Walter Muller,Berlin
10708,12/28/2022,Beverages,2.95,677.97,Drive-thru , Gift Card,Walter Muller,Berlin
10709,12/28/2022,Sides & Other,4.99,200.4,Drive-thru , Gift Card,Walter Muller,Berlin
10710,12/29/2022,Burgers,12.99,754.43,Drive-thru , Gift Card,Walter Muller,Berlin
10711,12/29/2022,Chicken Sandwiches,9.95,281.41,Drive-thru , Gift Card,Walter Muller,Berlin
10712,12/29/2022,Fries,3.49,630.37,Drive-thru , Gift Card,Walter Muller,Berlin
10713,12/29/2022,Beverages,2.95,677.97,Drive-thru , Gift Card,Walter Muller,Berlin
